procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 1067208 151936 5044280    0    0   192  2287 2660   28 22  6 72  1  0  0
13  0      0 874968 151988 5073504    0    0 14612     0 6859 15905 48 14 29  9  0  0
 1  0      0 866088 151988 5073504    0    0     0   132 10342 13630 42  9 50  0  0  0
 7  0      0 873536 151988 5073504    0    0     0   128 9886 13909 48  9 43  0  0  0
 1  0      0 797708 151988 5073888    0    0     0  1712 4027 9324 49  6 45  0  0  0
 1  0      0 693544 151988 5073904    0    0     0   244 2684 4953 37 12 52  0  0  0
 1  0      0 693560 151988 5073920    0    0     0   116 3118 6380 35 13 52  0  0  0
 7  0      0 756024 151988 5073956    0    0     0   220 3647 8439 46 12 42  0  0  0
 1  0      0 752868 152004 5073988    0    0     0   294 2247 3976 32  9 59  0  0  0
 1  0      0 734908 152004 5074052    0    0     0   148 3215 6367 45 11 44  0  0  0
 0  0      0 708824 152004 5074088    0    0     0   200 3831 7994 50 12 38  0  0  0
 1  0      0 784720 152004 5074120    0    0     0    56 2514 4722 34  9 57  0  0  0
 0  0      0 669292 152004 5074136    0    0     0   184 3000 5705 42 11 47  0  0  0
 1  0      0 808704 152004 5074188    0    0     0   168 3858 9674 43 12 45  0  0  0
 4  0      0 649108 152004 5074200    0    0     0    56 2341 4176 34 13 52  0  0  0
 1  0      0 605736 152004 5074216    0    0     0   206 3348 7208 49 12 39  0  0  0
 0  0      0 793008 152004 5074268    0    0     0   216 3370 9098 41 12 47  0  0  0
 0  0      0 818300 152004 5074284    0    0     0    24 2632 4723 40 10 50  0  0  0
 1  0      0 806824 152004 5074300    0    0     0   168 3505 9202 37 12 52  0  0  0
 0  0      0 796416 152004 5074332    0    0     0    36 3089 6851 35 11 54  0  0  0
 1  0      0 888616 152004 5074364    0    0     0   156 2776 5671 42 13 44  0  0  0
 1  0      0 759680 152004 5074384    0    0     0   362 3028 7374 40 13 47  0  0  0
