procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1106452 152996 5105016    0    0   192  2221 2672   29 22  6 71  1  0  0
 9  0      0 533496 152996 5105024    0    0     0     0 6653 16357 53 21 27  0  0  0
12  0      0 477184 152996 5105024    0    0     0     0 12759 27557 58 13 29  0  0  0
 1  0      0 456312 152996 5105024    0    0     0    12 13296 35235 65 15 20  0  0  0
22  0      0 454940 152996 5105024    0    0     0     8 13717 32215 57 13 30  0  0  0
 7  0      0 426532 152996 5105636    0    0     0   556 10393 23199 65 11 24  0  0  0
 1  0      0 269316 152996 5106856    0    0     0   564 5185 10148 71 14 15  0  0  0
 5  0      0 205360 152996 5106904    0    0     0  1168 3023 4132 67 13 21  0  0  0
 4  0      0 466812 132508 5015320    0    0     0    20 3923 7750 73 23  4  0  0  0
 2  0      0 392944 132508 5015372    0    0     0    40 3359 4937 64 17 19  0  0  0
 2  0      0 353436 132508 5015440    0    0     0    40 2920 4181 66 18 16  0  0  0
 4  0      0 260856 132508 5015464    0    0     0    22 4101 8517 76 14 10  0  0  0
 2  0      0 318740 132508 5015500    0    0     0    62 3754 7255 65 16 20  0  0  0
 2  0      0 366096 132516 5015532    0    0     0    90 3429 5711 68 21 10  0  0  0
 3  0      0 360352 132516 5015548    0    0     0    20 3673 6459 74 23  3  0  0  0
 2  0      0 267892 132516 5015628    0    0    30   110 3724 6397 61 20 18  0  0  0
 2  0      0 200696 132516 5015660    0    0     0    44 3163 4634 71 14 15  0  0  0
 3  0      0 334008 132516 5015692    0    0     0    40 3938 8213 67 16 18  0  0  0
 3  0      0 303396 132552 5015732    0    0     0   502 4059 8787 75 24  1  0  0  0
 1  0      0 229904 132552 5015744    0    0     0   296 3128 4883 68 23 10  0  0  0
 2  0      0 213636 132552 5015760    0    0     0   120 3603 6535 69 17 14  0  0  0
 4  0      0 370756 132552 5015792    0    0     0   364 3515 6027 68 15 18  0  0  0
 2  0      0 403384 132552 5015828    0    0     0   836 3116 4759 67 14 19  0  0  0
 4  0      0 344756 132552 5015860    0    0     0   208 3791 7050 65 21 14  0  0  0
 2  0      0 346604 132552 5015860    0    0     0   192 3867 6937 75 23  2  0  0  0
 2  0      0 279600 132552 5015896    0    0     0   192 3176 4666 62 20 18  0  0  0
 2  0      0 280548 132552 5015956    0    0     0   170 4216 7820 75 13 12  0  0  0
10  0      0 320100 132552 5016000    0    0     0   252 3771 6733 68 17 15  0  0  0
 1  0      0 243932 132552 5016052    0    0     0   116 3492 5411 65 22 13  0  0  0
 2  0      0 245724 132552 5016068    0    0     0   180 3859 7803 69 22  9  0  0  0
 6  0      0 237172 132552 5016100    0    0     0   180 3075 4571 67 20 14  0  0  0
 2  0      0 224052 132552 5016136    0    0     0    90 3349 5812 68 16 17  0  0  0
 2  0      0 298808 132552 5016196    0    0     0   216 3723 6723 69 18 13  0  0  0
 8  0      0 302372 132560 5016212    0    0     0   416 3069 4173 72 22  6  0  0  0
 7  0      0 302348 132560 5016216    0    0     0    10 4114 8934 69 22  9  0  0  0
 2  0      0 229516 132560 5016244    0    0     0   216 3566 6073 66 18 16  0  0  0
 4  0      0 322316 132560 5016292    0    0     0    72 3276 5097 72 11 18  0  0  0
 1  0      0 341380 132560 5016348    0    0     0   204 4099 8459 64 22 14  0  0  0
 0  0      0 289156 132560 5016376    0    0     0   192 3256 5534 70 24  6  0  0  0
 2  0      0 282492 132560 5016376    0    0     0     0 2821 3779 62 24 15  0  0  0
 4  0      0 346512 132560 5016428    0    0     0   332 4153 8101 76 11 14  0  0  0
 1  0      0 429884 132560 5016460    0    0     0   660 3446 5638 69 17 13  0  0  0
 2  0      0 321204 132560 5016492    0    0     0   164 2930 4646 62 19 19  0  0  0
 2  0      0 244604 132560 5016544    0    0     0   198 3930 7767 68 22 11  0  0  0
 1  0      0 304492 132560 5016592    0    0     0    68 3679 6462 72 14 14  0  0  0
