== thousand
    053553f6 scored 0/1000
    053553f6 scored 16/1000
    053553f6 scored 32/1000
    053553f6 scored 48/1000
    053553f6 scored 64/1000
    053553f6 scored 80/1000
    053553f6 scored 96/1000
    053553f6 scored 112/1000
    053553f6 scored 128/1000
    053553f6 scored 144/1000
    053553f6 scored 160/1000
    053553f6 scored 176/1000
    053553f6 scored 192/1000
    053553f6 scored 208/1000
    053553f6 scored 224/1000
    053553f6 scored 240/1000
    053553f6 scored 256/1000
    053553f6 scored 272/1000
    053553f6 scored 288/1000
    053553f6 scored 304/1000
    053553f6 scored 320/1000
    053553f6 scored 336/1000
    053553f6 scored 352/1000
    053553f6 scored 368/1000
    053553f6 scored 384/1000
    053553f6 scored 400/1000
    053553f6 scored 416/1000
    053553f6 scored 432/1000
    053553f6 scored 448/1000
    053553f6 scored 464/1000
    053553f6 scored 480/1000
    053553f6 scored 496/1000
    053553f6 scored 512/1000
    053553f6 scored 528/1000
    053553f6 scored 544/1000
    053553f6 scored 560/1000
    053553f6 scored 576/1000
    053553f6 scored 592/1000
    053553f6 scored 608/1000
    053553f6 scored 624/1000
    053553f6 scored 640/1000
    053553f6 scored 656/1000
    053553f6 scored 672/1000
    053553f6 scored 688/1000
    053553f6 scored 704/1000
    053553f6 scored 720/1000
    053553f6 scored 736/1000
    053553f6 scored 752/1000
    053553f6 scored 768/1000
    053553f6 scored 784/1000
    053553f6 scored 800/1000
    053553f6 scored 816/1000
    053553f6 scored 832/1000
    053553f6 scored 848/1000
    053553f6 scored 864/1000
    053553f6 scored 880/1000
    053553f6 scored 896/1000
    053553f6 scored 912/1000
    053553f6 scored 928/1000
    053553f6 scored 944/1000
    053553f6 scored 960/1000
    053553f6 scored 976/1000
    053553f6 scored 992/1000
    053553f6 scored 1000/1000
   completed: upload 7.01s, processing 116.8s, integrity ok
== concurrent
    4280f431 scored 0/1000
    080ca96c scored 0/1000
    080ca96c scored 16/1000
    4280f431 scored 16/1000
    080ca96c scored 32/1000
    4280f431 scored 32/1000
    4280f431 scored 48/1000
    080ca96c scored 48/1000
    080ca96c scored 64/1000
    4280f431 scored 64/1000
    080ca96c scored 80/1000
    4280f431 scored 80/1000
    080ca96c scored 96/1000
    4280f431 scored 96/1000
    080ca96c scored 112/1000
    4280f431 scored 112/1000
    080ca96c scored 128/1000
    4280f431 scored 128/1000
    080ca96c scored 144/1000
    4280f431 scored 144/1000
    080ca96c scored 160/1000
    4280f431 scored 160/1000
    080ca96c scored 176/1000
    4280f431 scored 176/1000
    080ca96c scored 192/1000
    080ca96c scored 208/1000
    4280f431 scored 192/1000
    4280f431 scored 208/1000
    080ca96c scored 224/1000
